2026-05-08 23:02:34 | INFO     | __main__ | Recall             : 0.6719
2026-05-08 23:02:34 | INFO     | __main__ | F1 Score           : 0.5375
2026-05-08 23:02:34 | INFO     | __main__ | AUC Score          : 0.4448
2026-05-08 23:02:34 | INFO     | __main__ | Saving artifacts
2026-05-08 23:02:34 | INFO     | __main__ | Logging experiment to MLflow
2026-05-08 23:02:34 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:02:34 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:02:34 | DEBUG    | git.cmd | Popen(['git', 'check-ignore', 'c:\\Users\\vaibh\\OneDrive\\Desktop\\Workstation\\Internship\\src'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:02:34 | DEBUG    | git.cmd | Popen(['git', 'cat-file', '--batch-check'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=<valid stream>, shell=False, universal_newlines=False)
2026-05-08 23:02:35 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): config.mlflow-telemetry.io:443
2026-05-08 23:02:35 | DEBUG    | urllib3.connectionpool | https://config.mlflow-telemetry.io:443 "GET /3.12.0.json HTTP/1.1" 200 308
2026-05-08 23:02:41 | INFO     | __main__ | Training completed successfully
2026-05-08 23:37:31 | INFO     | __main__ | Loading dataset
2026-05-08 23:37:31 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): config.mlflow-telemetry.io:443
2026-05-08 23:37:31 | INFO     | data_preprocessing | Loading datasets
2026-05-08 23:37:31 | INFO     | data_preprocessing | Preparing VIX
2026-05-08 23:37:31 | INFO     | data_preprocessing | Preparing BankNifty
2026-05-08 23:37:31 | INFO     | data_preprocessing | Merging datasets
2026-05-08 23:37:31 | INFO     | data_preprocessing | Final shape: (988, 13)
2026-05-08 23:37:31 | INFO     | feature_engineering | Creating features
2026-05-08 23:37:31 | INFO     | feature_engineering | Creating target
2026-05-08 23:37:31 | INFO     | feature_engineering | Dropping NaNs
2026-05-08 23:37:31 | INFO     | feature_engineering | Dropped 251 rows
2026-05-08 23:37:31 | INFO     | feature_engineering | Final shape: (737, 46)
2026-05-08 23:37:31 | INFO     | __main__ | Splitting IS/OOS
2026-05-08 23:37:31 | INFO     | __main__ | Train rows: 611
2026-05-08 23:37:31 | INFO     | __main__ | Test rows : 126
2026-05-08 23:37:31 | INFO     | __main__ | Majority baseline accuracy: 0.5079
2026-05-08 23:37:31 | INFO     | __main__ | Persistence baseline accuracy: 0.5840
2026-05-08 23:37:31 | INFO     | __main__ | Training XGBoost
2026-05-08 23:37:31 | DEBUG    | urllib3.connectionpool | https://config.mlflow-telemetry.io:443 "GET /3.12.0.json HTTP/1.1" 200 308
2026-05-08 23:37:34 | INFO     | __main__ | Generating predictions
2026-05-08 23:37:34 | INFO     | __main__ | Accuracy          : 0.4683
2026-05-08 23:37:34 | INFO     | __main__ | Balanced Accuracy : 0.4627
2026-05-08 23:37:34 | INFO     | __main__ | Precision         : 0.4860
2026-05-08 23:37:34 | INFO     | __main__ | Recall            : 0.8125
2026-05-08 23:37:34 | INFO     | __main__ | F1 Score          : 0.6082
2026-05-08 23:37:34 | INFO     | __main__ | AUC Score         : 0.4735
2026-05-08 23:37:34 | INFO     | __main__ | Saving artifacts
2026-05-08 23:37:34 | INFO     | __main__ | Logging to MLflow
2026-05-08 23:37:35 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:37:35 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:37:35 | DEBUG    | git.cmd | Popen(['git', 'check-ignore', 'c:\\Users\\vaibh\\OneDrive\\Desktop\\Workstation\\Internship\\src'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:37:35 | DEBUG    | git.cmd | Popen(['git', 'cat-file', '--batch-check'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=<valid stream>, shell=False, universal_newlines=False)
2026-05-08 23:37:39 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): api.mlflow-telemetry.io:443
2026-05-08 23:37:41 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): api.mlflow-telemetry.io:443
2026-05-08 23:37:42 | DEBUG    | urllib3.connectionpool | https://api.mlflow-telemetry.io:443 "POST /log HTTP/1.1" 200 30
2026-05-08 23:37:46 | INFO     | __main__ | Training completed
2026-05-08 23:46:35 | INFO     | __main__ | Loading dataset
