date,adj close,close,high,low,open,volume,ret_1d,signal,target,ret_5d,ret_10d,ret_20d,ret_intraday,ret_overnight,high_low_range,log_volume,ema50,close_vs_ma5,close_vs_ma20,close_vs_ma50,close_vs_252d_high,close_vs_252d_low,ma5_smooth_signal,momentum_5_20,vol_5d,vol_20d,vol_50d,volume_ratio_20d,volume_normalized,rsi_14,ret_zscore,dow,vix_level,vix_change,vix_5d_change,vix_ma_ratio
2022-11-10,41603.265625,41603.75,41643.8984375,41318.6015625,41462.8515625,253400,-0.0042947697185780065,-1,1.0,0.011109083725113544,0.011696688572627068,0.07468658892937285,0.0033981849339911763,-0.0076669011047446455,0.007872891692811633,12.442724546869176,39929.160442984394,0.0018701533552090135,0.02140648006810407,0.03815364967607167,,,0.0021879682314745815,-0.06357750520425931,0.005490170544775882,0.00877529165502268,0.01263132920114828,1.0099037522667038,0.027425623213853282,62.74046629290709,-0.9014485755087331,3,15.56999969482422,-0.02198494847942245,-0.06542618022635849,0.9140273956040422
2022-11-11,42136.5625,42137.05078125,42345.5,41918.1015625,42163.3984375,255400,0.012818574797944793,1,-1.0,0.02030829771693754,0.020284847059210742,0.07716287898494456,-0.0006248940366857733,0.013451874830994802,0.010196035163060708,12.450586222580576,40015.74437781834,0.01063037617489185,0.03068044055867083,0.04943947560933432,,,0.0040318443349458034,-0.05685458126800702,0.007294325859092889,0.00888404675237406,0.012406161456744101,1.0059276472557552,0.01678265537964398,67.23971248457389,1.015715245700763,4,14.40999984741211,-0.07450223957279323,-0.0959849293129279,0.8605039916475307
2022-11-14,42076.26171875,42076.75,42231.44921875,41965.44921875,42177.55078125,142700,-0.0014310631648865035,-1,1.0,0.019833532203583637,0.02649123880347548,0.08939390016570004,-0.002389915473584372,0.0009611493744602921,0.006338547661278274,11.868499803464928,40096.56812770781,0.0052382538243089995,0.024877672875453994,0.04661349277927251,,,0.0038839964642903993,-0.0695603679621164,0.007376394465092118,0.008109373628502023,0.011607375621764587,0.5638421874073928,-1.2177454025048235,66.26534184890933,-0.7057300639379762,0,14.90999984741211,0.03469812666859906,-0.047892720773170416,0.904897729701217
2022-11-15,42372.20703125,42372.69921875,42450.05078125,42079.55078125,42234.8515625,139400,0.007033556982181333,1,1.0,0.01645608822133493,0.025777171473902794,0.07803207518330413,0.003263836645572442,0.003757456612024455,0.008804751788488415,11.845102777308561,40185.828170493776,0.009001361277020123,0.02824538601845235,0.05236691353707343,,,0.0032607081107736955,-0.0615759869619692,0.006782301594089,0.007528409107571985,0.011587777785934757,0.5558767819758748,-1.1973871421924538,68.6652956584428,0.428775542112151,1,14.640000343322754,-0.01810861883651993,-0.06093648492411596,0.898379994031284
2022-11-16,42534.8046875,42535.30078125,42611.75,42296.30078125,42371.80078125,185400,0.003837413369881526,1,-1.0,0.018000095171326613,0.030171071770674462,0.06550155656244083,0.0038586984028384885,-2.120321614069938e-05,0.007458080563155041,12.130270932113891,40277.964351307746,0.009258265633982184,0.02892672275531368,0.05477361590628624,,,0.0035499346341721196,-0.04750146139111422,0.00676296730759088,0.007002338261920368,0.011590445820160465,0.7417038385373952,-0.690277244946731,69.93101533970022,0.09056199591783683,2,15.100000381469728,0.03142076689614148,-0.05150751827226785,0.9361438566802863
2022-11-17,42457.55859375,42458.05078125,42622.75,42366.55078125,42399.6484375,165400,-0.001816138562115266,-1,-1.0,0.020534225430399955,0.03187142558505007,0.05305970004650451,0.001377425188703842,-0.0031891709064814453,0.0060472050243794,12.016122061571728,40363.457936795676,0.0033576086688015382,0.02440741682942696,0.05147487590862901,,,0.00401690250478542,-0.032525474616104555,0.006098210412555846,0.00689769681258756,0.011538720184682875,0.6724260595588982,-0.844321464423735,68.51503803679427,-0.6391869314196622,3,14.880000114440918,-0.014569553739799068,-0.044315966211140756,0.9299128313719521
2022-11-18,42436.95703125,42437.44921875,42590.75,42223.69921875,42545.75,280100,-0.00048522158038155627,-1,-1.0,0.007129080747950045,0.027582157959164855,0.051129215418760365,-0.0025455135060493705,0.002065549810608099,0.008693003882686958,12.5429019612482,40444.79092824487,0.0014489132127698803,0.021366881590193457,0.04952425512868495,,,0.0014150364040389106,-0.04400013467081032,0.0038500861589178697,0.006927133969457764,0.011521004799276459,1.1279118932087704,0.332010744447881,68.11890553653714,-0.4319282918338058,4,14.390000343322754,-0.03293009189177509,-0.0013878906524033008,0.9080869827890958
2022-11-21,42346.05859375,42346.55078125,42386.80078125,42202.55078125,42286.94921875,259100,-0.0021419392346474497,-1,1.0,0.006412110755940059,0.02637281776469469,0.0560355404542503,0.0014094552480407529,-0.003546395996239686,0.004365849850048867,12.464969366550202,40519.369746009776,-0.0019669892769918385,0.016430754065229158,0.045781001710364005,,,0.0012715221400760957,-0.04962342969831024,0.003992545459476209,0.006671843920186253,0.011492156648391948,1.0441265363691317,0.11448137530112022,66.29755709237848,-0.7300318653333854,0,14.800000190734863,0.028491997055605234,-0.007377575976054707,0.9411764827176384
2022-11-22,42456.55859375,42457.05078125,42508.75,42347.1484375,42467.3984375,216300,0.0026094214985965536,1,1.0,0.0019907054319228124,0.018479552877468164,0.04102093754672209,-0.00024366117611910755,0.0028537780296266383,0.003816114389343291,12.28442161194115,40595.35723758783,0.00023960094093336431,0.01704101069781804,0.047346940081298444,,,0.0003983869332628778,-0.03903023211479928,0.002683628282761486,0.005776001310554134,0.011213650206934978,0.8910218121150955,-0.28094321545652773,67.43737462694799,0.10033013553054013,1,13.84000015258789,-0.06486486660641766,-0.05464482049003094,0.8898604884170083
2022-11-23,42728.60546875,42729.1015625,42860.55078125,42556.3984375,42668.55078125,359100,0.006407670251324715,1,1.0,0.00455623394428728,0.022638341760233827,0.03448024759472568,0.0014190962697661635,0.004981504746754648,0.0071470414536298245,12.791356180214175,40679.0334856236,0.005730428773545179,0.021814852434060627,0.05285630787397456,,,0.0009129262522190051,-0.029924013650438397,0.0035914025941078892,0.005316281703067888,0.011224312338713545,1.397303449483453,1.150776874112015,70.11697988874076,0.8813630623078343,2,14.039999961853027,0.014450853111279693,-0.07019870151245178,0.9126365049041341
